Date,station,Pluvio_du_jour,Cumul_du_mois,Cumul_moy_du_mois,Cumul_periode,Cumul_moy_periode,Cumul_mois_precedent,Cumul_periode_precedente
2025-02-26,جندوبة,4.0,25.5,51.6130769076829,250.7,295.1900001037121,57.099999999999994,232.2
2025-02-26,بوسالم,3.5,54.6,50.99212133544261,238.49999999999997,285.44666698293577,50.7,259.79999999999995
2025-02-26,غار الدماء,2.0,17.6,52.05595246210795,238.6,280.0775508447262,89.3,210.8
2025-02-26,عين دراهم,16.0,171.0,192.68969249661154,1030.0,1116.6620001083604,239.0,1072.0
2025-02-26,طبرقة,5.0,65.0,111.2253845676665,729.3,707.6780009159448,86.6,535.8000000000001
2025-02-26,سد بوهرتمة,3.5,44.8,99.68611130131538,416.5,510.18650820688816,108.9,462.80000000000007
2025-02-26,بــاجة,3.5,54.0,74.66369220285462,406.0,399.26669886146493,56.300000000000004,332.7
2025-02-26,مجاز الباب,4.0,49.0,54.22505039882781,278.0,274.36734292904526,21.5,181.0
2025-02-26,نفزة ,13.0,68.0,119.73605449137843,844.0,700.9081378630028,63.0,515.0
2025-02-26,سد سيدي سالم,1.5,42.0,52.062499972060316,219.90000000000003,282.73506191667127,22.0,169.0
2025-02-26,تبرسق ,2.5,57.5,68.63246167531379,265.0,368.9532650579605,42.5,225.0
2025-02-26,تيبار ,8.0,67.0,64.42523088374963,341.0,359.5731430971804,55.0,293.0
2025-02-26,الكاف ,13.0,72.9,44.866604854147155,382.5,257.9816328182209,38.7,255.10000000000002
2025-02-26,سد ملاق,3.0,46.4,29.023384565069126,260.6,176.9045710294251,67.8,183.89999999999998
2025-02-26,ساقية سيدي يوسف,8.5,32.3,50.3121213564969,315.4,306.87555567274495,81.0,222.2
2025-02-26,قلعة سنان,1.0,42.0,27.798535354992357,165.5,207.33601016349562,19.0,112.0
2025-02-26,القصور,5.0,51.5,35.40000001013279,170.5,224.08600001215933,31.5,158.5
2025-02-26,السرس,3.0,57.0,39.28266376612932,213.0,242.6930232035905,26.5,134.5
2025-02-26,تاجروين,4.0,51.5,34.73488383653552,221.0,224.16707276927548,26.0,117.5
2025-02-26,سليانة,4.0,51.0,39.33042861397778,234.0,245.79200003400445,36.5,151.5
2025-02-26,بوعرادة,5.0,68.0,47.227083358758435,255.0,269.7105571002006,26.0,196.0
2025-02-26,الكريب,6.0,55.0,56.744557851228585,380.0,328.4177295642647,73.0,291.0
2025-02-26,الروحية ,0.0,38.0,22.165116311505784,124.0,166.45478153705687,11.0,67.0
2025-02-26,سعدية برقو,5.0,93.0,64.74984620979198,398.0,379.74130603072274,40.0,230.0
2025-02-26,سد الأخماس,8.0,66.0,42.99166666716336,271.0,270.1620052996106,38.0,159.0
2025-02-26,مكثر,5.0,73.0,48.771076869620714,193.0,302.3179998342694,42.0,237.0
2025-02-26,تونس قرطاج,4.2,63.2,55.953692355304966,305.4,333.2839999717475,31.0,141.6
2025-02-26,تونس المنوبية,3.0,67.3,54.63953837419932,261.8,328.0198774994514,35.2,197.10000000000002
2025-02-26,أريانة,6.0,67.0,58.859692090669526,330.0,338.4440000084041,32.0,162.0
2025-02-26,سيدي ثابت,5.0,62.0,61.56645422090847,283.0,307.139474679079,21.0,152.0
2025-02-26,قلعة الأندلس,4.0,58.0,62.25949765567551,380.0,358.7516030584023,40.0,165.0
2025-02-26,منوبة,6.5,61.5,50.7148935737762,297.5,296.3869046943311,37.5,254.0
2025-02-26,برج العامري,4.0,56.0,51.690769166396215,314.0,284.9604894544427,38.0,213.5
2025-02-26,البطان,3.0,44.0,51.98610542736387,253.0,270.8732190838109,22.0,157.0
2025-02-26,بن عروس ,10.0,87.0,51.66694732930315,377.0,322.8839998246731,25.0,230.0
2025-02-26,برج السدرية,4.0,134.0,59.58260861933231,472.0,351.84256877288243,47.5,185.0
2025-02-26,الخليدية,13.0,85.0,47.24614173467675,391.0,312.4244467642443,36.0,233.0
2025-02-26,نابل,2.5,82.5,39.865333478997144,455.5,294.27375536468264,26.5,178.7
2025-02-26,قليبية ,7.0,89.0,63.49830782019175,536.0,404.53473467139565,30.5,199.0
2025-02-26,قربة ,5.0,77.0,48.48292303922084,458.0,318.88575508543136,20.0,119.5
2025-02-26,منزل بوزلفة,5.0,151.0,59.56417345863854,533.0,374.99710203365396,51.5,216.5
2025-02-26,قرمبالية,3.0,151.0,54.69400002698487,575.5,356.8157144448405,38.5,268.5
2025-02-26,الهوارية ,16.0,105.0,69.58588038290854,765.0,433.7046510298238,61.0,267.5
2025-02-26,الحمامات ,2.5,81.0,45.88323073531572,409.5,323.36399990692746,18.5,182.0
2025-02-26,زغوان,5.0,122.5,50.68351651172577,576.5,320.53453085379937,48.0,190.5
2025-02-26,الفحص ,7.0,85.0,43.12083339318633,469.0,261.4234043595129,15.0,211.0
2025-02-26,سد بئر مشارقة ,4.0,54.5,47.86399996817113,340.5,276.14546894446335,27.5,127.5
2025-02-26,صواف,2.0,55.0,41.92034580437005,331.0,258.86611417883717,16.0,142.0
